City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Galveston,US,29.3669,-94.9669,83.08,60,40,14.97,scattered clouds
80,Samarai,PG,-10.6167,150.6667,81.01,79,100,7.83,overcast clouds
81,Namibe,AO,-15.1961,12.1522,72.41,70,12,11.25,few clouds
82,Jamestown,US,42.097,-79.2353,19.02,61,100,23.02,overcast clouds
83,Tarbolton,GB,55.5129,-4.4865,56.08,76,20,3.44,few clouds
84,Ballina,AU,-28.8667,153.5667,68.02,96,75,12.66,moderate rain
85,Marshall,US,34.3834,-86.3333,64.33,32,0,6.91,clear sky
86,Beringovskiy,RU,63.05,179.3167,-7.15,96,100,4.54,overcast clouds
87,Kinsale,IE,51.7075,-8.5306,52.97,71,75,5.75,broken clouds
88,Omboue,GA,-1.5746,9.2618,77.95,87,100,6.91,light rain
89,Mutis,CO,6.2262,-77.4044,80.74,84,100,4.56,light rain
90,Cape Town,ZA,-33.9258,18.4232,67.26,64,20,13.8,few clouds
91,Iqaluit,CA,63.7506,-68.5145,13.73,85,75,0.0,broken clouds
92,Faya,SA,18.3851,42.4509,64.51,43,3,4.23,clear sky
93,Butaritari,KI,3.0707,172.7902,80.87,71,48,12.71,scattered clouds
94,Flin Flon,CA,54.7682,-101.865,21.04,53,100,5.75,overcast clouds
95,Ayagoz,KZ,47.9714,80.4392,30.83,98,100,6.33,overcast clouds
96,Nanakuli,US,21.3906,-158.1547,76.44,78,0,0.0,clear sky
97,New Norfolk,AU,-42.7826,147.0587,56.91,73,97,1.32,overcast clouds
98,Pizarro,CO,4.9533,-77.366,81.97,75,100,5.61,overcast clouds
99,Vestmanna,FO,62.1564,-7.1664,32.92,93,100,2.3,light snow
100,Timmins,CA,48.4669,-81.3331,13.82,41,20,12.66,few clouds
101,Chokurdakh,RU,70.6333,147.9167,-15.09,100,78,5.61,broken clouds
102,Asau,RO,46.4333,26.4,49.28,62,0,6.85,clear sky
103,Seymchan,RU,62.8833,152.4333,-3.46,93,100,5.57,overcast clouds
104,Qazanbulaq,AZ,40.6192,46.6519,41.9,49,3,4.97,clear sky
105,Narsaq,GL,60.9167,-46.05,35.78,70,51,3.67,broken clouds
106,Ikalamavony,MG,-21.15,46.5833,68.68,87,72,10.92,broken clouds
107,Cururupu,BR,-1.8283,-44.8683,77.58,94,100,3.27,moderate rain
108,Victoria,HK,22.2855,114.1577,65.25,86,99,8.99,overcast clouds
109,Lorengau,PG,-2.0226,147.2712,80.58,82,100,8.99,overcast clouds
110,Punta Arenas,CL,-53.15,-70.9167,48.22,81,100,6.91,shower rain
111,Castro,BR,-24.7911,-50.0119,78.12,56,19,2.17,few clouds
112,Mahebourg,MU,-20.4081,57.7,79.09,83,40,1.14,scattered clouds
113,Huilong,CN,31.8111,121.655,45.93,68,0,8.37,clear sky
114,Aklavik,CA,68.2191,-135.0107,-8.54,96,100,1.9,overcast clouds
115,Margate,GB,51.3813,1.3862,50.31,88,100,1.99,light rain
116,Nikolskoye,RU,59.7035,30.7861,28.71,90,55,9.44,broken clouds
117,Aosta,IT,45.7667,7.4167,37.56,48,36,3.11,scattered clouds
118,Vanimo,PG,-2.6741,141.3028,77.02,90,100,6.53,overcast clouds
119,Lamu,KE,-2.2717,40.902,84.42,85,2,9.93,clear sky
120,Hasaki,JP,35.7333,140.8333,48.6,54,100,13.35,overcast clouds
121,Varhaug,NO,58.6147,5.6457,40.89,70,100,20.18,overcast clouds
122,Nantucket,US,41.2835,-70.0995,35.71,38,75,23.02,broken clouds
123,Lindi,TZ,-10.0,39.7167,74.79,96,29,3.83,light rain
124,Zyryanskoye,RU,56.8306,86.6258,9.41,96,67,4.88,broken clouds
125,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,0,10.36,clear sky
126,Bonthe,SL,7.5264,-12.505,80.71,65,35,10.13,scattered clouds
127,Atuona,PF,-9.8,-139.0333,79.02,77,100,16.58,overcast clouds
128,Pinheiro Machado,BR,-31.5783,-53.3811,78.06,52,0,4.45,clear sky
129,Ribeira Grande,PT,38.5167,-28.7,63.0,77,20,10.36,few clouds
130,Hithadhoo,MV,-0.6,73.0833,81.7,64,60,5.12,broken clouds
131,Carballo,ES,43.213,-8.691,63.82,92,100,2.59,overcast clouds
132,Ginir,ET,7.1333,40.7,63.03,30,18,5.79,few clouds
133,Fuerte Olimpo,PY,-21.0415,-57.8738,99.28,31,6,1.66,clear sky
134,Nuqui,CO,5.7125,-77.2708,81.97,79,100,5.82,light rain
