City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
58,Mogadishu,SO,2022-03-25 16:16:34,2.0371,45.3438,81.18,83,77,13.73
59,New Norfolk,AU,2022-03-25 16:20:51,-42.7826,147.0587,54.72,74,6,2.44
60,Norman Wells,CA,2022-03-25 16:20:52,65.282,-126.8329,-3.96,65,20,13.8
61,Port-Cartier,CA,2022-03-25 16:20:52,50.0334,-66.8654,29.75,98,100,20.13
62,Qaanaaq,GL,2022-03-25 16:20:53,77.484,-69.3632,-5.06,69,39,7.78
63,Avera,US,2022-03-25 16:20:53,33.194,-82.5271,66.54,45,4,14.7
64,Agirish,RU,2022-03-25 16:20:53,61.9247,63.0231,13.14,80,55,11.41
65,Castro,BR,2022-03-25 16:20:54,-24.7911,-50.0119,72.18,87,100,8.66
66,Arraial Do Cabo,BR,2022-03-25 16:20:54,-22.9661,-42.0278,93.16,58,0,14.97
67,Zavetnoye,RU,2022-03-25 16:20:55,47.1194,43.8903,41.63,67,100,6.26
68,Jamestown,US,2022-03-25 16:20:29,42.097,-79.2353,42.03,66,100,11.5
69,Carnarvon,AU,2022-03-25 16:20:55,-24.8667,113.6333,80.67,83,75,14.97
70,San Julian,MX,2022-03-25 16:20:56,21.0167,-102.1667,62.37,23,66,7.72
71,Petropavlovka,RU,2022-03-25 16:20:56,50.6114,105.3196,8.29,86,59,4.59
72,Cape Town,ZA,2022-03-25 16:18:22,-33.9258,18.4232,73.27,49,20,17.27
73,Araouane,ML,2022-03-25 16:20:56,18.9048,-3.5265,101.84,7,36,16.42
74,La Ronge,CA,2022-03-25 16:20:57,55.1001,-105.2842,3.45,51,0,13.8
75,Iranshahr,IR,2022-03-25 16:20:57,27.2025,60.6848,84.54,10,0,0.0
76,Haradok,BY,2022-03-25 16:20:58,55.4624,29.9816,48.31,82,55,6.89
77,Severo-Kurilsk,RU,2022-03-25 16:20:58,50.6789,156.125,24.01,72,2,9.15
78,Ixtapa,MX,2022-03-25 16:20:58,20.7,-105.2,70.83,56,40,0.0
79,Leh,IN,2022-03-25 16:20:59,34.1667,77.5833,19.69,50,26,4.65
80,Pevek,RU,2022-03-25 16:20:59,69.7008,170.3133,-17.9,96,38,6.49
81,Airai,TL,2022-03-25 16:20:59,-8.9266,125.4092,59.79,93,78,0.96
82,Torrington,US,2022-03-25 16:21:00,41.8007,-73.1212,57.34,66,83,1.99
83,East London,ZA,2022-03-25 16:21:00,-33.0153,27.9116,61.74,94,75,4.61
84,Chapais,CA,2022-03-25 16:17:49,49.7834,-74.8492,35.38,100,100,7.18
85,Timizart,DZ,2022-03-25 16:21:01,36.8,4.2667,63.39,65,100,1.3
86,Douala,CM,2022-03-25 16:20:43,4.0483,9.7043,87.71,74,40,2.3
87,Lata,PT,2022-03-25 16:21:02,40.1629,-8.3327,62.92,58,100,10.38
88,Ribeira Grande,PT,2022-03-25 16:21:04,38.5167,-28.7,61.2,94,75,21.85
89,Trairi,BR,2022-03-25 16:21:04,-3.2778,-39.2689,84.24,70,20,8.99
90,Hermanus,ZA,2022-03-25 16:21:05,-34.4187,19.2345,66.79,66,97,16.55
91,Voyvozh,RU,2022-03-25 16:21:05,62.892,54.9635,11.43,91,39,5.3
92,Margate,GB,2022-03-25 16:21:05,51.3813,1.3862,57.11,72,9,5.99
93,Hobart,AU,2022-03-25 16:21:07,-42.8794,147.3294,55.06,89,7,3.44
94,Saint-Georges,GD,2022-03-25 16:20:40,12.0564,-61.7485,85.68,62,20,28.77
95,Saskylakh,RU,2022-03-25 16:21:07,71.9167,114.0833,-13.25,100,100,3.78
96,Bac Giang,VN,2022-03-25 16:21:08,21.2667,106.2,75.27,91,7,5.44
97,Bayana,IN,2022-03-25 16:22:08,26.9,77.2833,82.17,11,2,6.38
98,Bredasdorp,ZA,2022-03-25 16:22:09,-34.5322,20.0403,64.53,60,100,13.49
99,Mitu,CO,2022-03-25 16:19:12,1.1983,-70.1733,76.51,95,99,0.49
100,Yinchuan,CN,2022-03-25 16:22:09,38.4681,106.2731,44.91,21,100,6.31
101,Cherskiy,RU,2022-03-25 16:22:10,68.75,161.3,0.27,97,99,12.88
102,Albany,US,2022-03-25 16:22:11,42.6001,-73.9662,53.94,72,16,1.99
103,Touros,BR,2022-03-25 16:22:11,-5.1989,-35.4608,84.51,70,81,11.25
104,Porto-Vecchio,FR,2022-03-25 16:22:12,41.591,9.2795,58.66,55,0,19.57
